Product Review ID,Title,rating,detail_review,upvote,downvote,combinedSentiment,sentiment,RatingCategory,review_trueness,prs
1,Really Nice,4.0,"The base is becoming a bit Heat within 30 minutes . But there is no problem.   Overall, it is a Nice laptop.",289,60,0.04174999999999998,Positive,Good,0.828080229226361,0.828080229226361
1,Terrific purchase,5.0,Hey everyone After reading all reviews I have purchased this laptop.Received it today early morning. It took 3 hours to start and then I took help of HP Support system and the issue was resolved within 5 mins. So go for it. Display and sound it too good as per me. Highly recommended for students.,303,71,0.6772,Positive,Excellent,0.8101604278074866,0.8101604278074866
1,Decent product,3.0,"Good for Normal useBattery 7/10Display 6/10Multitasking 9/10Build quality  8/10Camera 2/10Keyboard 10/10Trackpad 10/10Microphone 10/10For web surfing, Watching movies, listening songs(not much good speakers), attending classes, YouTube and medium multitasking ( can easily handle 3 to 4 *medium usage* apps at a time) this laptop is good.*It do not have LAN port*Processor is not too good but SSD and 8 GB ram Full fills that incompleteness.If you are looking laptop as a student ...",19,1,0.33785,Positive,Average,0.95,0.95
1,Nice product,4.0,In this price range its best laptop.,109,22,0.5292,Positive,Good,0.8320610687022901,0.8320610687022901
1,Excellent,5.0,Very fast laptop go for it little bit heating issue but don't worry about it it doesn't affects performance and battery,136,30,0.52505,Positive,Excellent,0.8192771084337349,0.8192771084337349
1,Excellent,5.0,Nice product suitable for any type of working and not too short works fast,134,30,0.4967,Positive,Excellent,0.8170731707317073,0.8170731707317073
1,Mind-blowing purchase,5.0,Nice laptop,121,28,0.21075,Positive,Excellent,0.8120805369127517,0.8120805369127517
1,Great product,5.0,"This Is one of the best laptop..good battery backup, good performance.veey fast...but lot of heating issue is there..after using 2 to 3 hours laptop is like iron box..but this heating issue I rectified by purchasing laptop cooling pad.",25,3,0.7437,Positive,Excellent,0.8928571428571429,0.8928571428571429
1,Nice product,4.0,"Received today don't know about performance but over all looks nice ,Thin & Light weight .",96,24,0.4967,Positive,Good,0.8,0.8
1,Nice product,4.0,Value For Money,15,1,0.38075000000000003,Positive,Good,0.9375,0.9375
2,Perfect product!,5.0,"After 20 days of usage, I would say this is the very best laptop at this price range, In this same specification laptop price range is starts from 30K upto 50K we can see!! okay lets tell my review by after 20 days,Pros: Every specification very nice, especially Performance, Multitask, Sound quality, Keyboard, Less weight, Slim, aesthetic look etc...Cons: Battery 4-5 hrs maximum backup, Camera quality low. Note: Dont judge this laptop from this cons.Overall : To be honest, Very impressi...",84,17,0.7585,Positive,Excellent,0.8316831683168316,0.8316831683168316
2,Terrific purchase,5.0,"Very good laptop, Good battery backup upto 4 to 5 hours,Becklit keyboard very good,Sound quality is very good,No heating issues,Over all good performance.GTA runs smoothly.",134,34,0.66875,Positive,Excellent,0.7976190476190477,0.7976190476190477
2,Fabulous!,5.0,"Awesome laptop, worth the price",80,19,0.64455,Positive,Excellent,0.8080808080808081,0.8080808080808081
2,Just wow!,5.0,Recommend for school going 11th and 12th cs students Plus biggner college going students were u don't have the budget and really u can opt for this ....worth every penny and I use it for video editing and canva poster editing and magisto also some multi tasking were I recommend this laptop for the purpose...if u want gaming u can buy it's on ur risk coz it's for the purpose not to play with games ...we can use this for academic purposes and if u want to gift a laptop to ur kid  who is joinin...,17,2,0.63985,Positive,Excellent,0.8947368421052632,0.8947368421052632
