Product,Price,Rating,Description,Url,Review Url
HP Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) 15a- na0012TU Chromebook,21990.0,3.9,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/hp-intel-celeron-dual-core-n4500-4-gb-128-gb-emmc-storage-chrome-os-15a-na0012tu-chromebook/p/itm7d20974c3dfce?pid=COMGNRNVW3HHPXFD&lid=LSTCOMGNRNVW3HHPXFDJRV8HQ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_c9GIRLndOFnR6fCqm7wFAC6f4jlH3gXOieqPnWMMwpyv-y2av4_tAebGu3Mwj4fO59ppmLgFBOffoTwgpOrvjw%3D%3D&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/hp-intel-celeron-dual-core-n4500-4-gb-128-gb-emmc-storage-chrome-os-15a-na0012tu-chromebook/product-reviews/itm7d20974c3dfce?pid=COMGNRNVW3HHPXFD&lid=LSTCOMGNRNVW3HHPXFDJRV8HQ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_c9GIRLndOFnR6fCqm7wFAC6f4jlH3gXOieqPnWMMwpyv-y2av4_tAebGu3Mwj4fO59ppmLgFBOffoTwgpOrvjw%3D%3D&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,23990.0,4.1,"Stylish, Thin and Portable Light Weight Laptop
Processor: Intel Core i3-1005G1 (Base 1.20 GHz & Turbo upto 3.40 GHz) 2 Cores
RAM/Storage: 8GB DDR4, 512GB SSD
Display: 14.0"" FHD 280 nits
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",https://www.flipkart.com/chuwi-intel-core-i3-10th-gen-1005g1-8-gb-512-gb-ssd-windows-11-home-corebook-x-grey-laptop/p/itm60983f1093f2d?pid=COMGQHRQZSPVRDZE&lid=LSTCOMGQHRQZSPVRDZEQTPAAX&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_c9GIRLndOFnR6fCqm7wFAC6f4jlH3gXOieqPnWMMwpy5oMXaUa7-1Bq3eGpB_f1zsRFyVRazlmijIUowN5kNoA%3D%3D&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/chuwi-intel-core-i3-10th-gen-1005g1-8-gb-512-gb-ssd-windows-11-home-corebook-x-grey-laptop/product-reviews/itm60983f1093f2d?pid=COMGQHRQZSPVRDZE&lid=LSTCOMGQHRQZSPVRDZEQTPAAX&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_c9GIRLndOFnR6fCqm7wFAC6f4jlH3gXOieqPnWMMwpy5oMXaUa7-1Bq3eGpB_f1zsRFyVRazlmijIUowN5kNoA%3D%3D&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
APPLE 2022 MacBook Pro Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEP3HN/A,102990.0,4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-256-gb-ssd-mac-os-monterey-mnep3hn-a/p/itm0161b086bcab6?pid=COMGFB2GYQHA9RR7&lid=LSTCOMGFB2GYQHA9RR7QL3VSN&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GYQHA9RR7.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-256-gb-ssd-mac-os-monterey-mnep3hn-a/product-reviews/itm0161b086bcab6?pid=COMGFB2GYQHA9RR7&lid=LSTCOMGFB2GYQHA9RR7QL3VSN&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GYQHA9RR7.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
APPLE 2022 MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,119990.0,4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly23hn-a/p/itm36fcfeeb2e684?pid=COMGFB2GQPT52CK3&lid=LSTCOMGFB2GQPT52CK3KFHYZZ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GQPT52CK3.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly23hn-a/product-reviews/itm36fcfeeb2e684?pid=COMGFB2GQPT52CK3&lid=LSTCOMGFB2GQPT52CK3KFHYZZ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GQPT52CK3.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
MSI Pulse 17 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,128990.0,4.9,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD43.94 cm (17.3 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/msi-pulse-17-intel-core-i7-13th-gen-13700h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-240-hz-b13vfk-667in-gaming-laptop/p/itm5c792cf76b75d?pid=COMGR5S396DVQSKT&lid=LSTCOMGR5S396DVQSKT39UHOF&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGR5S396DVQSKT.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/msi-pulse-17-intel-core-i7-13th-gen-13700h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-240-hz-b13vfk-667in-gaming-laptop/product-reviews/itm5c792cf76b75d?pid=COMGR5S396DVQSKT&lid=LSTCOMGR5S396DVQSKT39UHOF&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGR5S396DVQSKT.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
APPLE 2022 MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,104990.0,4.7,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itm0946c05e6335c?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GMCRXZG85.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/product-reviews/itm0946c05e6335c?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2GMCRXZG85.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
APPLE 2022 MacBook Pro Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEQ3HN/A,121990.0,4.5,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-512-gb-ssd-mac-os-monterey-mneq3hn-a/p/itm6507818115a3b?pid=COMGFB2G5PP2KVXP&lid=LSTCOMGFB2G5PP2KVXPVYUUZD&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2G5PP2KVXP.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-512-gb-ssd-mac-os-monterey-mneq3hn-a/product-reviews/itm6507818115a3b?pid=COMGFB2G5PP2KVXP&lid=LSTCOMGFB2G5PP2KVXPVYUUZD&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFB2G5PP2KVXP.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,99990.0,4.4,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty + 1 Year Accidental Damage Protection + 1 Year Legion Ultimate Support,https://www.flipkart.com/lenovo-legion-5-amd-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-15ach6h-gaming-laptop/p/itm043bbc57b0a10?pid=COMGHMH6JNJBDCBQ&lid=LSTCOMGHMH6JNJBDCBQAS2I04&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGHMH6JNJBDCBQ.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/lenovo-legion-5-amd-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-15ach6h-gaming-laptop/product-reviews/itm043bbc57b0a10?pid=COMGHMH6JNJBDCBQ&lid=LSTCOMGHMH6JNJBDCBQAS2I04&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGHMH6JNJBDCBQ.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
MSI Katana 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,103990.0,4.8,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,https://www.flipkart.com/msi-katana-15-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-144-hz-b13vek-297in-gaming-laptop/p/itmc1fcfaf2d031e?pid=COMGRDC8HS2EVZSN&lid=LSTCOMGRDC8HS2EVZSN3RVTPA&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGRDC8HS2EVZSN.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/msi-katana-15-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-144-hz-b13vek-297in-gaming-laptop/product-reviews/itmc1fcfaf2d031e?pid=COMGRDC8HS2EVZSN&lid=LSTCOMGRDC8HS2EVZSN3RVTPA&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGRDC8HS2EVZSN.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
DELL Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thi...,89890.0,4.0,"Processor: Intel i7-1255U (Base- 3.50 GHz & Turbo up to 4.70 GHz) 10 CoresRAM & Storage: 16GB DDR4 & 512GB SSDGraphics & Keyboard: NVIDIAGeForceMX550 (2GB GDDR6) + Fingerprint ReaderDisplay: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits, Dell Active PenIntel Core i7 Processor (12th Gen)16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Hardware Service",https://www.flipkart.com/dell-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-2-graphics-inspiron-7420-thin-light-laptop/p/itmcdfef8dacb6b3?pid=COMGFRHGQM9FRQFX&lid=LSTCOMGFRHGQM9FRQFXAIPI2V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFRHGQM9FRQFX.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595,https://www.flipkart.com/dell-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-2-graphics-inspiron-7420-thin-light-laptop/product-reviews/itmcdfef8dacb6b3?pid=COMGFRHGQM9FRQFX&lid=LSTCOMGFRHGQM9FRQFXAIPI2V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=4b44c49d-7c6e-407b-a2a7-a097e7857214.COMGFRHGQM9FRQFX.SEARCH&ppt=None&ppn=None&ssid=cae15luw6o0000001703946593799&qH=c5d334db81c10595
