Product Review ID,Title,rating,detail_review,upvote,downvote
1,Really Nice,4,"The base is becoming a bit Heat within 30 minutes . But there is no problem.   Overall, it is a Nice laptop.",289,60
1,Terrific purchase,5,Hey everyone After reading all reviews I have purchased this laptop.Received it today early morning. It took 3 hours to start and then I took help of HP Support system and the issue was resolved within 5 mins. So go for it. Display and sound it too good as per me. Highly recommended for students.,303,71
1,Decent product,3,"Good for Normal useBattery 7/10Display 6/10Multitasking 9/10Build quality  8/10Camera 2/10Keyboard 10/10Trackpad 10/10Microphone 10/10For web surfing, Watching movies, listening songs(not much good speakers), attending classes, YouTube and medium multitasking ( can easily handle 3 to 4 *medium usage* apps at a time) this laptop is good.*It do not have LAN port*Processor is not too good but SSD and 8 GB ram Full fills that incompleteness.If you are looking laptop as a student ...",19,1
1,Nice product,4,In this price range its best laptop.,109,22
1,Excellent,5,Very fast laptop go for it little bit heating issue but don't worry about it it doesn't affects performance and battery,136,30
1,Excellent,5,Nice product suitable for any type of working and not too short works fast,134,30
1,Mind-blowing purchase,5,Nice laptop,121,28
1,Great product,5,"This Is one of the best laptop..good battery backup, good performance.veey fast...but lot of heating issue is there..after using 2 to 3 hours laptop is like iron box..but this heating issue I rectified by purchasing laptop cooling pad.",25,3
1,Nice product,4,"Received today don't know about performance but over all looks nice ,Thin & Light weight .",96,24
1,Nice product,4,Value For Money,15,1
2,Perfect product!,5,"After 20 days of usage, I would say this is the very best laptop at this price range, In this same specification laptop price range is starts from 30K upto 50K we can see!! okay lets tell my review by after 20 days,Pros: Every specification very nice, especially Performance, Multitask, Sound quality, Keyboard, Less weight, Slim, aesthetic look etc...Cons: Battery 4-5 hrs maximum backup, Camera quality low. Note: Dont judge this laptop from this cons.Overall : To be honest, Very impressi...",84,17
2,Terrific purchase,5,"Very good laptop, Good battery backup upto 4 to 5 hours,Becklit keyboard very good,Sound quality is very good,No heating issues,Over all good performance.GTA runs smoothly.",134,34
2,Fabulous!,5,"Awesome laptop, worth the price",80,19
2,Just wow!,5,Recommend for school going 11th and 12th cs students Plus biggner college going students were u don't have the budget and really u can opt for this ....worth every penny and I use it for video editing and canva poster editing and magisto also some multi tasking were I recommend this laptop for the purpose...if u want gaming u can buy it's on ur risk coz it's for the purpose not to play with games ...we can use this for academic purposes and if u want to gift a laptop to ur kid  who is joinin...,17,2
2,Brilliant,5,"The laptop is best in budget...I am totally happy with what I got under 19k...The laptop is fast and snapyPros-1. Display is outstanding and Anti glare 2. Performance 10/10 because of 512 GB ssd3. Looks- the design is very attractive and looks like a laptop worth rs50,0004. Light weight and compact 5. Got pre activated geniune windows 116. Can carry all the day to day tasks and casual gaming7. Backlight keyboards 😍Cons-1. Battery backup up upto 3.5 to 4 hours (edit- initially ...",13,1
2,Fabulous!,5,You can't find a better product at this price point. Go for it.,8,0
2,Highly recommended,5,Very nice product 😃,12,2
2,Terrific,5,CHUWI COREBOOK X is is much competent faster and excellent and very friendly user face.I really found it very awesome,5,0
2,Best in the market!,5,Go for it best in budget,11,3
2,Highly recommended,5,"Everything is good for the price but its build quality is what sometimes I think it may require some treatment in the long run overall if you are looking for basic work, office, net browsing, notes, videos movies, etc. it's is excellent in performance either it's Wi-Fi, Bluetooth or headphone jack quality everything is good, the display is also good, the speaker has a low volume which you compensate by buying external speakers or headphones I tried running a virtual machine on it with ubuntu ...",4,0
3,Classy product,5,Really impressive ❤️❤️❤️❤️,17,2
3,Terrific purchase,5,"The device is good value for money. It has good display , nice battery, great built quality and everything you ask for. However the packaging was worst. Seller should also use the apple shipment box.",4,0
3,Fabulous!,5,Beast! Hands down best laptop in this price range. Finesse of apple and power of M2.,1,0
3,Simply awesome,5,Worth it. Buy it and use it will never regret,0,0
4,Super!,5,Go for it..its awesome,42,2
4,Mind-blowing purchase,5,"Best , best and best 🫶🏻👑🍎",37,3
4,Awesome,5,Most powerful laptop out there.,2,0
4,Wonderful,5,Five stars,0,0
4,Awesome,5,Everything is awesome,0,0
4,Super!,5,Amazing MacBook. Best in class product,0,0
4,Must buy!,5,"Excellent Product, Excellent Performance",0,0
6,Perfect product!,5,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️",525,48
6,Super!,5,Super product,541,91
6,Awesome,5,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.It's very thin and light and looks very premium.As A software developer, i installed intellij idea ide and guess what.It's magic,it is opening just in a click and within 5 seconds.Great performance, no heating issue, sound quality awesome an...",215,38
6,Mind-blowing purchase,5,just love how apple is in their own league!!,65,9
6,Fabulous!,5,Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️Thank you Flipkart..!!!,98,17
6,Just wow!,5,Its really very good and compact device.,179,38
6,Good,3,"Note--It's not for everyone.You can't attach dual monitor setup easilyYou need to buy 3rd party adopter at your risk. I talked to Apple their port support only mirroring, not extended screen feature.Related to Ms Excel, normal excel will workBut will not be able to run high macro based files.For port and accessories, there is heating issues, hence be ready for another 7000 for display adopter and 2000-5000 for usb hubRest UI and using experience is very smooth, unbelievable when i c...",181,41
6,Worth every penny,5,Worth every penny u spend,133,29
6,Highly recommended,5,This is the first MacBook I ever have. And I must say no one can match Apple product.,70,14
6,Brilliant,5,Its very good product.,26,3
7,Terrific,5,Great performance!!! A must buy.,28,5
7,Wonderful,5,Amazing device. Worth every penny. Recommended for business people and developers around the world.,4,0
7,Classy product,5,Best product with reasonable priceOnly delivery getting slightly delayed,4,0
7,Excellent,5,Very useful productThanks flipcart,1,0
7,Just wow!,5,You will forget about any other laptop once you get this,0,0
7,Brilliant,5,Best Product Delivered. I was skeptical about buying this online. But the delivery and product was excellent,2,2
7,Excellent,5,Best product,0,0
7,Great product,5,Great product for office works.,0,0
7,Nice product,4,Nice,0,1
7,Perfect product!,5,Fantastic!!! The best ever!,0,0
9,Mind-blowing purchase,5,"If you can overlook the plastic build quality and mediocre screen brightness levels when outside, then this is a best value for money laptop you can buy in this range. With the latest DDR5 RAM support and 13th Gen i7 processor and the RTX 4050 GPU, you are basically futureproofed.Also, this laptop comes with very less or almost no bloatware software that are pre-installed in other brands. It's MSI Center is the best compatible in-built software that I have ever seen in gaming laptops whic...",3,0
10,Must buy!,5,Really usable one and value for money with all features. Intel 7 performs smooth and good and then premium brand with premium look.So if you are a user without gaming can prefer and this with multipurpose tasking.,20,5
10,Terrific purchase,5,Product is Awesome 😎 🔥But little Heating Problem 🪫Battery Backup 🔥,25,12
12,Highly recommended,5,This is a beast from MSI.Will update review after using some more time.,13,1
12,Super!,5,Laptop is great 👍You love it 240 hz Qhd Display and performance while gaming and doing other tasks,7,1
12,Brilliant,5,"This is a brilliant machine for the price. I bought this for film editing, VFX, rendering, etc. video production work. Massive screen, nice brightness and pretty accurate colors  (100% DCI P3, as advertised I guess) when compared side by side to my MacBook Pro 2023.12th gen i7 processor, but ok for the price, also 13th gen i7 is almost similar in performance. Latest high speed DDR5 4800 RAM. Nvidia 4060 GDDR6 graphics. 2 years of warranty. What else one need?The price at which this comes...",4,0
12,Awesome,5,Gaming Beast,6,2
12,Terrific purchase,5,Fast and Multi language!,5,2
13,Awesome,5,"I have not been a Mac user but from my usage of 2023 MacBook Air M2 for almost a month now, following are my experience. The performance is very good. Battery lasts longer than older Mac as I did check with someone who uses older mac. The sound and display are added plus, 1080p videos look a bit low quality in this beast. During my research before buying this, I was oscillated between choosing 256GB and 512GB, many have suggested to go with 512 for better performance and so, had bought 512GB ...",64,6
13,Simply awesome,5,"This is my first Apple product, and I'm thoroughly enjoying it🥳 display is rated 5/5, speakers are 5/5, build quality is 5/5Permanence 5/5and it's perfect for coding and basic tasks. However, there are some disadvantages. Despite paying 1.2L, you only get 256 GB of storage, and most of it is utilized by Apple's built-in applications. Additionally, there are fewer ports we need bus c type  usb hub , additional SSD , Apart from these drawbacks, everything else is excellent.",62,10
13,Great product,5,"MacBook user since last 13 yrs. Was waiting for this 15 inch model since a long time.Not disappointed. It is all that I wanted and then some more.Battery, Display Size, M2 chip all very good.Plus all the benefits of apple ecosystem.Top product. Loved it",137,30
13,Awesome,5,It's cool,3,0
13,Perfect product!,5,"This is a perfect choice to have a premium personal laptop under 1.5L with 512 GB HD size. Battery, display, performance are just top notch and the usage experience of the laptop beats every other windows laptops like dell, hp, Samsung, Lenovo and others. For a working professional as well this is a best choice.",15,9
13,Brilliant,5,Too good,2,0
13,Awesome,5,perfection,5,3
13,Decent product,3,"I am facing issues with the charger ,the charger is not working properly",0,0
13,Simply awesome,5,Nice,0,0
14,Brilliant,5,The product is good but as it is expensive a bit they should send a laptop case along with it. Or a wireless mouse,18,0
14,Value-for-money,5,"Great value for Money, only RTX4060 140W at this price range.Would've liked more storage but it's always upgradable.Review Update :Turns out Acer Nitro with Rtx3070ti Is cheaper than this model , NVIDIA has tricked us by giving inferior hardware  compared to last generation(Rtx30 series) and just adding software upgrades to make games run smoother(DLSS )Rtx4060 is barely better than an Rtx 3060Rtx 3070ti is better than Rtx4060Overall it is still a great value for money but there i...",180,40
14,Very poor,,"Paid 1.10lakh for worse screen and screen bleeding issue, after screen replacement within 30days, issue still persists. Spent some more and Go for Lenovo Legion.READ MORE",2,0
14,Best in the market!,5,Very good laptop in terms of specifications.Nothing to complaint about,2,0
14,Great product,5,Great value after exchange offer and discount but some corners are cut like ram is only DDR4 3200mhz and processor 12th gen and surprising 13th gen version has rtx 4050 that makes this version with 4060 better.,1,0
14,Great product,5,Best Purchase for mid-premium range laptop.ASUS Tuf Gaming F15 2023 is the best value for the money laptop. Worth,1,0
14,Must buy!,5,Best Laptop you can buy at this price point,0,0
14,Fabulous!,5,Best,0,0
14,Simply awesome,5,Excellent,0,0
16,Perfect product!,5,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️",528,48
16,Super!,5,Super product,542,91
16,Awesome,5,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.It's very thin and light and looks very premium.As A software developer, i installed intellij idea ide and guess what.It's magic,it is opening just in a click and within 5 seconds.Great performance, no heating issue, sound quality awesome an...",216,38
16,Mind-blowing purchase,5,just love how apple is in their own league!!,65,9
16,Fabulous!,5,Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️Thank you Flipkart..!!!,98,17
16,Just wow!,5,Its really very good and compact device.,180,38
16,Good,3,"Note--It's not for everyone.You can't attach dual monitor setup easilyYou need to buy 3rd party adopter at your risk. I talked to Apple their port support only mirroring, not extended screen feature.Related to Ms Excel, normal excel will workBut will not be able to run high macro based files.For port and accessories, there is heating issues, hence be ready for another 7000 for display adopter and 2000-5000 for usb hubRest UI and using experience is very smooth, unbelievable when i c...",182,41
16,Worth every penny,5,Worth every penny u spend,133,29
16,Highly recommended,5,This is the first MacBook I ever have. And I must say no one can match Apple product.,70,14
16,Brilliant,5,Its very good product.,26,3
18,Simply awesome,5,"Just awesome.... Liked everything about this laptop. Thermals are superb. Gaming is like butter smooth, Screen is amazing, battey is good. Just one thing sound little on lower side... It's decent but compare to HP it's low. But it's totally ignorable as I have always used headsets.",17,0
18,Simply awesome,5,"Absolutely Beast...Just Go for🔥PROS:)1. SUPERB DISPLAY 1900*1200 WUXGA DISPLAY 2. GREAT BUILD3. BATTERY LIFE WITH 7-8 HOURS ON NORMAL USAGE4. I7 13TH GEN PERFORMANCE IS LIT5. TOO MANY PORTS FOR FUNCTIONAL USAGE6. MUX SWITCH AND RGB LIGHTING IS AWESOME7. GREAT THERMALS WITH FASTEST FANS8. VERY VERY LOUD SPEAKERS CONS:( LOW QUALITY WEBCAM 720PNO DOUBT, THE BEST LAPTOP UNDER 1.3L",89,14
18,Awesome,5,One of the best gaming laptop.This specs was beastI got this laptop at 87k in bbd sale I'm so lucky for this price i7 13 gen rtx 4050 one of the best Absolutely one of the best 💥,46,6
18,Waste of money!,,Detective prodect dilvered by seller wifi 6 not working same day replsement rec but not solved yet 20 days hold for technichian visite and replace aproved sp far amezon is best for usREAD MORE,7,0
18,Super!,5,Playing all nee AAA titles games in 60 fps in ultra settings good processor and graphics card I'm happy with the purchase...this is a future proof lap..,22,5
18,Brilliant,5,Excellent thermals in this laptop. Also the performance is decent.,16,4
